City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mount Gambier,-37.83,140.77,35.6,93.0,0.0,8.05,AU,1589669442
Husavik,66.04,-17.34,37.4,74.0,90.0,17.22,IS,1589669443
Longyearbyen,78.22,15.64,33.8,74.0,36.0,10.29,SJ,1589669443
Sistranda,63.73,8.83,39.2,86.0,90.0,12.75,NO,1589669443
Chui,-33.7,-53.46,63.25,69.0,0.0,12.8,UY,1589669443
Okhotsk,59.38,143.3,37.69,80.0,98.0,2.3,RU,1589669443
Belvedere Marittimo,39.62,15.86,68,60.0,94.0,2.37,IT,1589669443
Chardara,41.25,67.97,64.33,66.0,8.0,11.23,KZ,1589669444
Lakselv,70.05,24.97,37.4,94.0,100.0,11.41,NO,1589669444
Luanda,-8.84,13.23,78.8,88.0,40.0,5.82,AO,1589669444
Pareora,-44.49,171.21,48.99,97.0,0.0,3.89,NZ,1589669444
Hibbing,47.43,-92.94,62.6,33.0,20.0,10.29,US,1589669444
Tallahassee,30.44,-84.28,89.6,38.0,75.0,8.05,US,1589669249
Virovitica,45.83,17.38,54,94.0,100.0,5.01,HR,1589669445
Pevek,69.7,170.31,33.84,91.0,0.0,3.8,RU,1589669417
Huaihua,27.55,109.96,71.47,88.0,53.0,2.13,CN,1589669445
Kovdor,67.57,30.48,26.82,98.0,44.0,1.79,RU,1589669445
Abu Dhabi,24.47,54.37,84,83.0,0.0,6.93,AE,1589669309
Hasaki,35.73,140.83,66,93.0,75.0,4.7,JP,1589669446
Dikson,73.51,80.55,30.94,96.0,99.0,10.6,RU,1589669446
Morehead,37.27,-87.18,82,65.0,75.0,3.36,US,1589669446
Hong Kong,22.29,114.16,81,83.0,2.0,4.41,HK,1589669446
Mount Isa,-20.73,139.5,68,32.0,5.0,8.05,AU,1589669427
Mar del Plata,-38.0,-57.56,73,59.0,15.0,5.82,AR,1589669432
Kaitangata,-46.28,169.85,49.24,66.0,0.0,4.92,NZ,1589669447
Ca Mau,9.18,105.15,80.47,77.0,99.0,2.28,VN,1589669447
Golden,39.76,-105.22,71.01,30.0,40.0,13.87,US,1589669270
San Pedro Necta,15.5,-91.77,69.12,81.0,100.0,1.12,GT,1589669447
La Ronge,55.1,-105.28,68,64.0,75.0,5.82,CA,1589669382
Codrington,-38.27,141.97,47.68,73.0,0.0,7.09,AU,1589669448
Los Andes,-32.83,-70.6,75.2,31.0,0.0,8.05,CL,1589669448
Atuona,-9.8,-139.03,80.98,79.0,8.0,16.49,PF,1589669419
Šiauliai,55.93,23.32,46.4,81.0,55.0,11.41,LT,1589669448
Narsaq,60.92,-46.05,48.2,24.0,100.0,20.8,GL,1589669430
Dengzhou,37.81,120.75,60.33,84.0,20.0,4.14,CN,1589669449
Abu Samrah,35.3,37.18,82.98,27.0,0.0,7.36,SY,1589669449
Barrow,71.29,-156.79,26.6,79.0,90.0,11.41,US,1589669449
Bahir Dar,11.59,37.39,62.98,80.0,100.0,8.5,ET,1589669449
Arraial do Cabo,-22.97,-42.03,72.91,76.0,16.0,11.21,BR,1589669406
Tasiilaq,65.61,-37.64,39.2,55.0,46.0,11.41,GL,1589669450
Lázaro Cárdenas,17.96,-102.2,83.12,55.0,74.0,8.37,MX,1589669450
Guerrero Negro,27.98,-114.06,70.12,60.0,3.0,19.53,MX,1589669450
Miguel Calmon,-11.43,-40.59,69.06,82.0,79.0,1.57,BR,1589669451
Bom Jesus,-9.07,-44.36,75.47,75.0,30.0,1.9,BR,1589669451
Skibbereen,51.55,-9.27,48.2,93.0,40.0,6.93,IE,1589669451
Kavieng,-2.57,150.8,85.06,69.0,71.0,8.97,PG,1589669423
Hilo,19.73,-155.09,82.4,58.0,90.0,13.87,US,1589669265
San Miguel de Tucumán,-26.82,-65.22,73.4,53.0,0.0,4.7,AR,1589669451
Meulaboh,4.14,96.13,75.65,95.0,100.0,9.69,ID,1589669452
Vilkaviškis,54.65,23.03,43.7,88.0,44.0,13.42,LT,1589669452
Lompoc,34.64,-120.46,69.8,56.0,1.0,19.46,US,1589669400
Rosario,-32.95,-60.64,72,68.0,0.0,6.93,AR,1589669403
San Miguel,13.48,-88.18,85.6,72.0,84.0,3.58,SV,1589669452
Quatre Cocos,-20.21,57.76,71.6,88.0,20.0,3.36,MU,1589669453
Vizinga,61.07,50.1,34.92,90.0,0.0,3.85,RU,1589669453
Lüderitz,-26.65,15.16,73.4,25.0,0.0,3.36,NA,1589669453
Halifax,44.65,-63.57,51.01,61.0,64.0,1.01,CA,1589669453
Lodwar,3.12,35.6,84.85,48.0,0.0,17.09,KE,1589669453
Tuktoyaktuk,69.45,-133.04,26.6,86.0,90.0,11.41,CA,1589669454
Kumul,42.8,93.45,76.66,27.0,96.0,20.69,CN,1589669434
Antalya Province,36.77,30.72,86,64.0,0.0,8.7,TR,1589669454
Hobart,-42.88,147.33,53.6,66.0,20.0,3.36,AU,1589669454
Vanimo,-2.67,141.3,82.38,77.0,100.0,7.2,PG,1589669455
Talnakh,69.49,88.4,37.4,93.0,75.0,20.13,RU,1589669455
Aklavik,68.22,-135.01,30.2,68.0,90.0,10.29,CA,1589669455
Vao,-22.67,167.48,72.43,76.0,100.0,14.58,NC,1589669455
Quartz Hill,34.65,-118.22,89.6,19.0,1.0,16.11,US,1589669456
Cabo San Lucas,22.89,-109.91,86,23.0,5.0,10.29,MX,1589669400
North Platte,41.12,-100.77,69.8,46.0,20.0,12.75,US,1589669456
Kiryat Gat,31.61,34.76,84,32.0,69.0,10.78,IL,1589669456
Tolaga Bay,-38.37,178.3,59.74,73.0,66.0,9.22,NZ,1589669404
Itarema,-2.92,-39.92,77.81,88.0,91.0,5.5,BR,1589669457
Phu Ly,20.54,105.91,79.54,92.0,74.0,2.66,VN,1589669457
San Carlos,9.66,-68.58,83.68,60.0,100.0,2.48,VE,1589669457
Khatanga,71.97,102.5,36.37,85.0,81.0,14.03,RU,1589669457
Mahébourg,-20.41,57.7,71.6,88.0,20.0,3.36,MU,1589669457
Shingū,33.73,135.98,69.8,88.0,75.0,4.7,JP,1589669450
San Andrés,12.58,-81.7,87.8,70.0,20.0,10.29,CO,1589669458
Tiksi,71.69,128.87,25,98.0,75.0,5.5,RU,1589669458
Waiuku,-37.25,174.75,61,76.0,55.0,4.7,NZ,1589669458
Oodweyne,9.41,45.06,77.34,58.0,0.0,12.95,SO,1589669458
Quthing,-30.4,27.7,42.67,56.0,4.0,1.3,LS,1589669459
Provideniya,64.38,-173.3,42.89,60.0,96.0,5.5,RU,1589669459
Inhambane,-23.86,35.38,69.35,80.0,6.0,10.89,MZ,1589669459
Verkhoyansk,67.54,133.38,39.78,75.0,100.0,3.53,RU,1589669459
Dingle,11.0,122.67,82.72,80.0,72.0,2.75,PH,1589669459
Havre-St-Pierre,50.23,-63.6,51.8,40.0,20.0,9.17,CA,1589669460
Nikolskoye,59.7,30.79,39.99,80.0,40.0,11.18,RU,1589669424
Thompson,55.74,-97.86,60.8,25.0,40.0,13.87,CA,1589669436
Nemuro,43.32,145.57,45.9,99.0,100.0,7.96,JP,1589669460
Lata,40.16,-8.33,63,85.0,9.0,5.01,PT,1589669460
Sabha,27.04,14.43,84.56,13.0,0.0,13.33,LY,1589669461
Daru,-9.08,143.21,80.49,80.0,99.0,17.27,PG,1589669461
Najrān,17.49,44.13,80.6,21.0,4.0,3.91,SA,1589669461
Aykhal,66.0,111.5,42.8,56.0,75.0,6.71,RU,1589669461
Gaya,24.78,85.0,85.66,25.0,11.0,3.36,IN,1589669461
Paraíso,9.84,-83.87,71.01,94.0,90.0,1.12,CR,1589669462
Tieli,46.95,128.05,64.09,61.0,0.0,5.12,CN,1589669462
Bethel,41.37,-73.41,73,37.0,1.0,4.7,US,1589669461
Yellowknife,62.46,-114.35,33.8,50.0,75.0,16.11,CA,1589669443
Hobyo,5.35,48.53,82.87,75.0,0.0,25.57,SO,1589669462
Riyadh,24.69,46.72,80.6,28.0,7.0,7.7,SA,1589669463
Ponta do Sol,32.67,-17.1,62.6,59.0,40.0,11.41,PT,1589669463
Zhigansk,66.77,123.37,41,84.0,94.0,9.86,RU,1589669463
Landerneau,48.45,-4.25,48.2,93.0,18.0,4.7,FR,1589669463
Alexandria,31.22,29.96,75.2,69.0,1.0,6.93,EG,1589669405
Ancud,-41.87,-73.82,55,81.0,90.0,9.17,CL,1589669463
Maceió,-9.67,-35.74,80.6,78.0,40.0,6.93,BR,1589669387
Chilmāri,25.56,89.67,79.92,74.0,0.0,8.48,BD,1589669464
Grants,35.15,-107.85,80.6,11.0,40.0,9.17,US,1589669464
San Patricio,19.22,-104.7,80.6,78.0,5.0,13.87,MX,1589669464
Broken Hill,-31.95,141.43,44.6,87.0,0.0,8.05,AU,1589669464
Nanortalik,60.14,-45.24,40.69,81.0,100.0,8.16,GL,1589669465
Ulaangom,49.98,92.07,61.57,53.0,100.0,7.94,MN,1589669465
Philadelphia,39.95,-75.16,78.01,41.0,75.0,6.93,US,1589669355
Boundiali,9.52,-6.49,82.96,59.0,1.0,7.61,CI,1589669465
Tigil',57.8,158.67,48.81,49.0,98.0,11.52,RU,1589669465
Vila Franca do Campo,37.72,-25.43,62.6,93.0,75.0,9.17,PT,1589669466
Corcoran,36.1,-119.56,89.01,32.0,1.0,5.82,US,1589669466
Marzuq,14.4,46.47,79.99,45.0,0.0,2.66,YE,1589669435
Pravdinsk,54.44,21.02,51.8,66.0,23.0,17.9,RU,1589669466
Hamilton,39.18,-84.53,75.99,72.0,99.0,1.01,US,1589669324
La Tuque,47.43,-72.78,53.35,64.0,70.0,9.06,CA,1589669466
Zonguldak,41.25,31.83,57.38,88.0,48.0,3.51,TR,1589669467
Chernyshevskiy,63.01,112.47,42.51,90.0,100.0,5.86,RU,1589669467
Antofagasta,-23.65,-70.4,62.6,72.0,75.0,6.93,CL,1589669204
Raja,8.46,25.68,74.71,80.0,93.0,4.74,SS,1589669467
Severo-Kuril'sk,50.68,156.12,35.91,93.0,100.0,14.85,RU,1589669417
Santa Fe,-31.63,-60.7,64.81,64.0,6.0,7.11,AR,1589669360
Itacaré,-14.28,-39.0,77.59,83.0,22.0,5.73,BR,1589669468
Takoradze,4.88,-1.76,81.21,86.0,6.0,8.66,GH,1589669450
Altamont,42.21,-121.74,62.6,36.0,90.0,19.46,US,1589669468
Comodoro Rivadavia,-45.87,-67.5,59,44.0,0.0,24.16,AR,1589669264
Puerto Escondido,15.85,-97.07,89.6,75.0,5.0,9.17,MX,1589669469
Kahului,20.89,-156.47,86,55.0,40.0,16.11,US,1589669405
Ballina,-28.87,153.57,61,87.0,60.0,11.41,AU,1589669469
Saint-Joseph,-21.37,55.62,71.6,83.0,75.0,4.7,RE,1589669469
Ribeira Grande,38.52,-28.7,63.41,92.0,100.0,14.65,PT,1589669469
Iqaluit,63.75,-68.51,32,95.0,40.0,5.82,CA,1589669438
Mundra,22.85,69.73,78.87,83.0,0.0,17.43,IN,1589669470
Arkhangelsk,64.54,40.54,32,89.0,20.0,4.47,RU,1589669470
Coahuayana Viejo,18.73,-103.68,89.6,25.0,5.0,11.41,MX,1589669452
Lazurne,46.08,32.53,54.32,71.0,20.0,4.36,UA,1589669470
Los Llanos de Aridane,28.66,-17.92,68,60.0,90.0,12.75,ES,1589669470
Labuhan,-6.88,112.21,78.04,87.0,53.0,7.0,ID,1589669471
Puerto El Triunfo,13.28,-88.55,89.6,66.0,75.0,9.17,SV,1589669471
Nianzishan,47.52,122.88,59,87.0,99.0,1.99,CN,1589669471
Erenhot,43.65,111.98,42.04,65.0,78.0,19.13,CN,1589669471
Berlevåg,70.86,29.09,33.24,94.0,100.0,10.69,NO,1589669471
Castro,-24.79,-50.01,53.11,60.0,0.0,0.78,BR,1589669387
Saint Anthony,45.02,-93.22,60.01,87.0,90.0,6.93,US,1589669472
Royan,45.63,-1.03,57.2,58.0,0.0,6.93,FR,1589669472
Viedma,-40.81,-63.0,64.06,53.0,92.0,8.03,AR,1589669172
Vila Nova de Milfontes,37.72,-8.78,61,88.0,2.0,3.0,PT,1589669472
Polunochnoye,60.87,60.42,43.66,91.0,88.0,3.56,RU,1589669472
Laas,46.62,10.7,48.2,93.0,90.0,3.36,IT,1589669473
Connersville,39.64,-85.14,78.01,60.0,87.0,4.0,US,1589669239
Carnarvon,-24.87,113.63,68.02,25.0,39.0,10.71,AU,1589669473
Mugur-Aksy,50.35,90.5,48.94,68.0,99.0,3.78,RU,1589669473
Ürümqi,43.8,87.6,69.8,40.0,100.0,2.24,CN,1589669474
Necochea,-38.55,-58.74,61,73.0,6.0,1.01,AR,1589669474
East London,-33.02,27.91,60.91,64.0,59.0,10.38,ZA,1589669474
Noumea,-22.28,166.46,75.2,64.0,100.0,2.24,NC,1589669474
Sur,22.57,59.53,79.95,68.0,0.0,8.19,OM,1589669474
Roseburg,43.22,-123.34,69.8,40.0,1.0,6.93,US,1589669220
Marquette,46.53,-87.63,50,75.0,97.0,4.72,US,1589669475
Marigot,18.07,-63.08,82.4,74.0,75.0,12.75,MF,1589669406
Coquimbo,-29.95,-71.34,57.2,87.0,20.0,9.17,CL,1589669475
Puerto Ayora,-0.74,-90.35,82.4,65.0,40.0,11.41,EC,1589669475
Atar,20.52,-13.05,77.16,19.0,0.0,9.89,MR,1589669475
Vila Velha,-20.33,-40.29,69.8,94.0,90.0,2.24,BR,1589669476
Napier City,-39.48,176.92,60.01,99.0,81.0,1.99,NZ,1589669399
Opuwo,-18.06,13.84,64.42,28.0,0.0,7.67,NA,1589669476
Donji Vakuf,44.14,17.4,58.95,75.0,100.0,2.37,BA,1589669476
Champerico,14.3,-91.92,82.4,83.0,75.0,6.93,GT,1589669476
Torbay,47.67,-52.73,36,97.0,90.0,8.05,CA,1589669477
Pangnirtung,66.15,-65.71,33.15,89.0,84.0,1.97,CA,1589669458
Kushiro,42.98,144.37,48.2,100.0,75.0,3.36,JP,1589669477
Moroni,-11.7,43.26,77.18,74.0,9.0,20.15,KM,1589669477
Beloha,-25.17,45.05,63.72,81.0,28.0,4.23,MG,1589669477
Chifeng,42.27,118.96,54.81,35.0,0.0,12.46,CN,1589669477
Burayevo,55.84,55.41,42.58,82.0,100.0,4.16,RU,1589669478
Prince Rupert,54.32,-130.32,60.8,59.0,75.0,6.93,CA,1589669478
Tucuruí,-3.77,-49.67,76.51,92.0,100.0,2.33,BR,1589669384
Verkhnevilyuysk,63.45,120.32,56.7,60.0,100.0,2.91,RU,1589669478
Okato,-39.2,173.88,53.01,97.0,60.0,1.01,NZ,1589669404
Pagudpud,18.56,120.79,80.6,78.0,75.0,5.82,PH,1589669479
Porgera,-5.47,143.2,47.88,100.0,98.0,2.59,PG,1589669479
Mossamedes,-15.2,12.15,77.61,52.0,0.0,1.21,AO,1589669479
Wellsford,-36.28,174.52,62.01,76.0,85.0,5.01,NZ,1589669403
Huoqiu,32.34,116.27,73.56,72.0,9.0,4.05,CN,1589669388
Raymond,43.9,-70.47,62.01,50.0,67.0,1.99,US,1589669207
Coos Bay,43.37,-124.22,66.99,93.0,90.0,23.04,US,1589669480
Huarmey,-10.07,-78.15,68.07,78.0,22.0,8.32,PE,1589669480
Ojinaga,29.57,-104.42,96.8,7.0,1.0,16.11,MX,1589669480
Tura,25.52,90.22,72.32,92.0,0.0,4.79,IN,1589669425
Aboisso,5.47,-3.21,79.09,88.0,93.0,4.5,CI,1589669480
Rawson,-43.3,-65.1,60.82,32.0,26.0,15.75,AR,1589669479
Charters Towers,-20.1,146.27,66.29,65.0,93.0,11.36,AU,1589669481
Christchurch,-43.53,172.63,50,93.0,0.0,2.24,NZ,1589669432
Sabang,5.89,95.32,80.92,83.0,100.0,18.3,ID,1589669481
Flin Flon,54.77,-101.86,64.4,25.0,75.0,16.11,CA,1589669481
New Norfolk,-42.78,147.06,52,83.0,35.0,2.08,AU,1589669429
Itoman,26.12,127.67,80.6,94.0,75.0,11.41,JP,1589669482
Tessalit,20.2,1.01,85.75,14.0,6.0,14.14,ML,1589669482
Olafsvik,64.89,-23.71,39.99,71.0,5.0,17.27,IS,1589669482
Novyy Svit,47.81,38.02,45.82,77.0,0.0,7.11,UA,1589669482
Qaqortoq,60.72,-46.03,48.2,24.0,100.0,20.8,GL,1589669482
Kruisfontein,-34.0,24.73,48.43,79.0,0.0,2.73,ZA,1589669449
Poum,-20.23,164.02,75.02,72.0,59.0,9.66,NC,1589669456
Nome,64.5,-165.41,48.2,70.0,75.0,8.05,US,1589669483
Bilibino,68.05,166.44,34.34,83.0,33.0,7.9,RU,1589669483
Riverside,33.73,-116.05,96.8,19.0,1.0,13.87,US,1589669483
Presidencia Roque Sáenz Peña,-26.79,-60.44,62.92,58.0,0.0,5.88,AR,1589669483
Troitskoye,52.98,84.68,56.68,73.0,29.0,3.78,RU,1589669484
Aquiraz,-3.9,-38.39,77,88.0,75.0,3.36,BR,1589669484
Ibirama,-27.06,-49.52,61,91.0,0.0,1.57,BR,1589669484
Mandan,46.83,-100.89,66.2,42.0,1.0,10.29,US,1589669304
Nara,34.69,135.8,66.99,93.0,75.0,2.24,JP,1589669321
Fairbanks,64.84,-147.72,59,28.0,1.0,12.75,US,1589669431
Port Lincoln,-34.73,135.87,57,56.0,0.0,6.31,AU,1589669457
Marsh Harbour,26.54,-77.06,80.49,78.0,100.0,16.62,BS,1589669284
Pouébo,-20.4,164.57,75.65,68.0,77.0,11.45,NC,1589669485
Bubaque,11.28,-15.83,79.61,76.0,40.0,13.47,GW,1589669485
Iralaya,15.0,-83.23,84.25,72.0,1.0,9.69,HN,1589669485
Paamiut,61.99,-49.67,39.67,89.0,100.0,5.91,GL,1589669446
Galle,6.04,80.22,82.63,83.0,100.0,14.72,LK,1589669486
Touros,-5.2,-35.46,75.2,100.0,75.0,2.24,BR,1589669452
Ndélé,8.41,20.65,74.61,81.0,96.0,3.6,CF,1589669486
El Sauzal de Rodríguez,31.9,-116.68,70,72.0,34.0,5.99,MX,1589669486
Ratnagiri,16.98,73.3,83.28,83.0,77.0,11.81,IN,1589669487
Toyooka,35.53,134.83,60.8,100.0,75.0,9.17,JP,1589669487
Kano,12.0,8.52,85.26,44.0,100.0,10.22,NG,1589669347
Toora-Khem,52.47,96.11,52.65,72.0,99.0,2.95,RU,1589669487
Lucapa,-8.42,20.74,68.68,66.0,20.0,1.28,AO,1589669487
Kattivākkam,13.22,80.32,86,89.0,20.0,3.36,IN,1589669488
Kokopo,-4.35,152.26,84.36,74.0,11.0,9.86,PG,1589669488
Khandyga,62.67,135.6,51.26,59.0,34.0,5.28,RU,1589669488
Polis,35.04,32.43,80.6,32.0,0.0,4.7,CY,1589669488
Batavia,41.85,-88.31,66.99,52.0,1.0,14.99,US,1589669239
Boralday,43.36,76.86,59,77.0,90.0,4.47,KZ,1589669488
Borogontsy,62.67,131.17,54.88,56.0,0.0,4.56,RU,1589669489
Mosquera,4.71,-74.23,66.2,55.0,40.0,9.17,CO,1589669299
Iwanai,42.97,140.51,59.52,68.0,67.0,4.16,JP,1589669489
Te Anau,-45.42,167.72,47.98,61.0,0.0,1.25,NZ,1589669403
Leningradskiy,69.38,178.42,29.01,97.0,100.0,4.7,RU,1589669490
Cidreira,-30.18,-50.21,63.1,66.0,0.0,11.79,BR,1589669490
Palmer,42.16,-72.33,71.6,37.0,20.0,4.7,US,1589669205
Broome,42.25,-75.83,64.99,51.0,1.0,4.7,US,1589669417
Antsohihy,-14.88,47.99,72.93,88.0,46.0,3.2,MG,1589669490
Dandong,40.13,124.39,58.71,94.0,100.0,9.51,CN,1589669491
Ondjiva,-17.07,15.73,60.22,35.0,0.0,5.46,AO,1589669491
Raudeberg,61.99,5.14,39,90.0,100.0,22.84,NO,1589669491
Port Macquarie,-31.43,152.92,61,91.0,44.0,10.0,AU,1589669491
Saint George,37.1,-113.58,89.6,14.0,1.0,8.05,US,1589669423
Xunchang,28.45,104.72,69.24,79.0,100.0,6.4,CN,1589669491
Markivka,49.52,39.57,43.29,85.0,0.0,8.23,UA,1589669492
Margate,51.38,1.39,52,56.0,80.0,1.01,GB,1589669492
Inverell,-29.78,151.12,57.99,72.0,0.0,1.01,AU,1589669492
Helong,42.54,129.0,58.44,73.0,80.0,2.77,CN,1589669492
Posse,-14.09,-46.37,70.14,85.0,33.0,1.88,BR,1589669492
Wajir,1.75,40.06,76.66,72.0,2.0,15.52,KE,1589669493
Karatuzskoye,53.61,92.87,55.33,83.0,91.0,2.26,RU,1589669493
Xiongzhou,25.12,114.3,75.31,84.0,71.0,1.01,CN,1589669493
Yuci,37.68,112.73,50,61.0,0.0,2.24,CN,1589669493
Nicoya,10.15,-85.45,87.8,66.0,40.0,14.99,CR,1589669493
Fortuna,40.6,-124.16,61,93.0,40.0,19.46,US,1589669484
Killybegs,54.63,-8.45,48.99,89.0,100.0,5.01,IE,1589669494
Pimentel,-6.84,-79.93,67.48,84.0,10.0,14.72,PE,1589669494
Kondinskoye,59.65,67.41,49.06,81.0,80.0,6.69,RU,1589669494
Dickinson,29.46,-95.05,82,61.0,75.0,13.87,US,1589669494
Bandarbeyla,9.49,50.81,82.67,83.0,30.0,23.24,SO,1589669494
Angoche,-16.23,39.91,73.58,68.0,23.0,13.6,MZ,1589669495
Springbok,-29.66,17.89,54.36,37.0,0.0,5.73,ZA,1589669495
Saint-François,46.42,3.91,50,76.0,7.0,4.7,FR,1589669495
Tepelenë,40.3,20.02,76.26,27.0,100.0,6.91,AL,1589669495
Bugarama,-2.87,30.53,60.78,95.0,44.0,2.3,TZ,1589669495
Vikhorevka,56.12,101.16,44.6,45.0,100.0,4.47,RU,1589669496
Malaya Serdoba,52.47,44.95,42.1,80.0,0.0,6.26,RU,1589669496
Dogondoutchi,13.64,4.03,96.21,28.0,93.0,8.99,NE,1589669496
Cherskiy,68.75,161.3,49.05,46.0,0.0,8.66,RU,1589669453
Agara,42.04,43.82,56.75,84.0,76.0,16.6,GE,1589669496
Cao Bang,22.67,106.25,74.84,90.0,46.0,1.74,VN,1589669497
College,64.86,-147.8,59,30.0,75.0,18.34,US,1589669497
Dhārchula,29.85,80.53,62.82,36.0,0.0,7.07,IN,1589669497
Klaksvík,62.23,-6.59,39.2,75.0,100.0,17.22,FO,1589669454
Williston,48.15,-103.62,69.01,39.0,56.0,3.0,US,1589669497
Amuntai,-2.42,115.25,76.39,96.0,80.0,0.22,ID,1589669498
Kutina,45.48,16.78,55.4,93.0,100.0,2.24,HR,1589669498
Korla,41.76,86.15,75.4,20.0,100.0,10.13,CN,1589669475
La Tijera,19.9,-104.4,79.52,17.0,14.0,9.4,MX,1589669499
Dawson Creek,55.77,-120.24,64.4,45.0,20.0,12.75,CA,1589669499
Krasnogorodsk,56.83,28.28,41.11,93.0,99.0,10.11,RU,1589669499
Taltal,-25.4,-70.48,59.99,79.0,44.0,2.21,CL,1589669499
Vredendal,-31.67,18.5,58.69,45.0,0.0,3.44,ZA,1589669499
Velyka Oleksandrivka,47.32,33.3,48.27,74.0,49.0,5.23,UA,1589669499
Santa Cruz de La Palma,28.68,-17.76,68,60.0,90.0,12.75,ES,1589669500
